# LAMMPS data file written by OVITO Basic 3.10.6

1500 atoms
2 atom types

-12.134 18.201 xlo xhi
-12.134 18.201 ylo yhi
-9.754 14.631 zlo zhi

Masses

1 63.546  # Cu
2 26.981538  # Al

Atoms  # atomic

1 1 -12.134 -12.134 -8.53475
2 1 -12.134 -12.134 -6.09625
3 1 -9.1005 -9.1005 -6.09625
4 1 -9.1005 -9.1005 -8.53475
5 2 -11.1748073 -8.1413073 -9.754
6 2 -10.0596927 -11.1748073 -9.754
7 2 -7.0261927 -10.0596927 -9.754
8 2 -8.1413073 -7.0261927 -9.754
9 2 -11.1748073 -10.0596927 -7.3155
10 2 -10.0596927 -7.0261927 -7.3155
11 2 -7.0261927 -8.1413073 -7.3155
12 2 -8.1413073 -11.1748073 -7.3155
13 1 -12.134 -12.134 -3.65775
14 1 -12.134 -12.134 -1.21925
15 1 -9.1005 -9.1005 -1.21925
16 1 -9.1005 -9.1005 -3.65775
17 2 -11.1748073 -8.1413073 -4.877
18 2 -10.0596927 -11.1748073 -4.877
19 2 -7.0261927 -10.0596927 -4.877
20 2 -8.1413073 -7.0261927 -4.877
21 2 -11.1748073 -10.0596927 -2.4385
22 2 -10.0596927 -7.0261927 -2.4385
23 2 -7.0261927 -8.1413073 -2.4385
24 2 -8.1413073 -11.1748073 -2.4385
25 1 -12.134 -12.134 1.21925
26 1 -12.134 -12.134 3.65775
27 1 -9.1005 -9.1005 3.65775
28 1 -9.1005 -9.1005 1.21925
29 2 -11.1748073 -8.1413073 0.0
30 2 -10.0596927 -11.1748073 0.0
31 2 -7.0261927 -10.0596927 0.0
32 2 -8.1413073 -7.0261927 0.0
33 2 -11.1748073 -10.0596927 2.4385
34 2 -10.0596927 -7.0261927 2.4385
35 2 -7.0261927 -8.1413073 2.4385
36 2 -8.1413073 -11.1748073 2.4385
37 1 -12.134 -12.134 6.09625
38 1 -12.134 -12.134 8.53475
39 1 -9.1005 -9.1005 8.53475
40 1 -9.1005 -9.1005 6.09625
41 2 -11.1748073 -8.1413073 4.877
42 2 -10.0596927 -11.1748073 4.877
43 2 -7.0261927 -10.0596927 4.877
44 2 -8.1413073 -7.0261927 4.877
45 2 -11.1748073 -10.0596927 7.3155
46 2 -10.0596927 -7.0261927 7.3155
47 2 -7.0261927 -8.1413073 7.3155
48 2 -8.1413073 -11.1748073 7.3155
49 1 -12.134 -12.134 10.97325
50 1 -12.134 -12.134 13.41175
51 1 -9.1005 -9.1005 13.41175
52 1 -9.1005 -9.1005 10.97325
53 2 -11.1748073 -8.1413073 9.754
54 2 -10.0596927 -11.1748073 9.754
55 2 -7.0261927 -10.0596927 9.754
56 2 -8.1413073 -7.0261927 9.754
57 2 -11.1748073 -10.0596927 12.1925
58 2 -10.0596927 -7.0261927 12.1925
59 2 -7.0261927 -8.1413073 12.1925
60 2 -8.1413073 -11.1748073 12.1925
61 1 -12.134 -6.067 -8.53475
62 1 -12.134 -6.067 -6.09625
63 1 -9.1005 -3.0335 -6.09625
64 1 -9.1005 -3.0335 -8.53475
65 2 -11.1748073 -2.0743073 -9.754
66 2 -10.0596927 -5.1078073 -9.754
67 2 -7.0261927 -3.9926927 -9.754
68 2 -8.1413073 -0.9591927 -9.754
69 2 -11.1748073 -3.9926927 -7.3155
70 2 -10.0596927 -0.9591927 -7.3155
71 2 -7.0261927 -2.0743073 -7.3155
72 2 -8.1413073 -5.1078073 -7.3155
73 1 -12.134 -6.067 -3.65775
74 1 -12.134 -6.067 -1.21925
75 1 -9.1005 -3.0335 -1.21925
76 1 -9.1005 -3.0335 -3.65775
77 2 -11.1748073 -2.0743073 -4.877
78 2 -10.0596927 -5.1078073 -4.877
79 2 -7.0261927 -3.9926927 -4.877
80 2 -8.1413073 -0.9591927 -4.877
81 2 -11.1748073 -3.9926927 -2.4385
82 2 -10.0596927 -0.9591927 -2.4385
83 2 -7.0261927 -2.0743073 -2.4385
84 2 -8.1413073 -5.1078073 -2.4385
85 1 -12.134 -6.067 1.21925
86 1 -12.134 -6.067 3.65775
87 1 -9.1005 -3.0335 3.65775
88 1 -9.1005 -3.0335 1.21925
89 2 -11.1748073 -2.0743073 0.0
90 2 -10.0596927 -5.1078073 0.0
91 2 -7.0261927 -3.9926927 0.0
92 2 -8.1413073 -0.9591927 0.0
93 2 -11.1748073 -3.9926927 2.4385
94 2 -10.0596927 -0.9591927 2.4385
95 2 -7.0261927 -2.0743073 2.4385
96 2 -8.1413073 -5.1078073 2.4385
97 1 -12.134 -6.067 6.09625
98 1 -12.134 -6.067 8.53475
99 1 -9.1005 -3.0335 8.53475
100 1 -9.1005 -3.0335 6.09625
101 2 -11.1748073 -2.0743073 4.877
102 2 -10.0596927 -5.1078073 4.877
103 2 -7.0261927 -3.9926927 4.877
104 2 -8.1413073 -0.9591927 4.877
105 2 -11.1748073 -3.9926927 7.3155
106 2 -10.0596927 -0.9591927 7.3155
107 2 -7.0261927 -2.0743073 7.3155
108 2 -8.1413073 -5.1078073 7.3155
109 1 -12.134 -6.067 10.97325
110 1 -12.134 -6.067 13.41175
111 1 -9.1005 -3.0335 13.41175
112 1 -9.1005 -3.0335 10.97325
113 2 -11.1748073 -2.0743073 9.754
114 2 -10.0596927 -5.1078073 9.754
115 2 -7.0261927 -3.9926927 9.754
116 2 -8.1413073 -0.9591927 9.754
117 2 -11.1748073 -3.9926927 12.1925
118 2 -10.0596927 -0.9591927 12.1925
119 2 -7.0261927 -2.0743073 12.1925
120 2 -8.1413073 -5.1078073 12.1925
121 1 -12.134 0.0 -8.53475
